image_index,true_positive_rate,false_positive_rate,true_negative_rate,false_negative_rate,accuracy,precision,recall
83,0.5700796148861322,0.22676955981386746,0.7732304401861325,0.4299203851138678,0.8652975983292726,0.28183066361556064,0.5700796148861322
84,0.9641422834193919,0.018075258804841978,0.981924741195158,0.03585771658060815,0.9936652730267326,0.8358617259388212,0.9641422834193919
85,0.958930276981853,0.15364670243626935,0.8463532975637307,0.041069723018147083,0.9974748957660462,0.14365431392187725,0.958930276981853
86,0.060751104565537555,0.5434770947323249,0.45652290526767514,0.9392488954344624,0.7710875807609476,0.00807714901116115,0.060751104565537555
87,0.8534217381008762,0.06870335690527433,0.9312966430947257,0.14657826189912385,0.9675585021356883,0.5945232596502804,0.8534217381008762
88,0.9824874665201566,0.6782892409292818,0.32171075907071817,0.01751253347984342,0.9778260869565217,0.45328094800544977,0.9824874665201566
89,0.6578638497652582,0.3670266836086404,0.6329733163913596,0.3421361502347418,0.8141003156787092,0.32665073722244886,0.6578638497652582
90,0.3588820664831675,0.3660175184964708,0.6339824815035292,0.6411179335168325,0.7989108779386372,0.11604025467241734,0.3588820664831675
91,0.8679413072476656,0.09529040617430004,0.9047095938256999,0.13205869275233437,0.9680739566257289,0.535748593385481,0.8679413072476656
92,0.9873895175364522,0.4704321626118631,0.5295678373881368,0.012610482463547824,0.9849477539226557,0.6263928571428572,0.9873895175364522
93,0.700107296137339,0.010366122629025143,0.9896338773709749,0.2998927038626609,0.9451180599872367,0.8740790354989953,0.700107296137339
94,0.7206235011990407,0.24511055507327784,0.7548894449267222,0.2793764988009592,0.9847876473084582,0.058915792569355946,0.7206235011990407
95,0.9689392872235526,0.3407100224788776,0.6592899775211224,0.031060712776447386,0.972132701421801,0.6101206315416001,0.9689392872235526
96,0.9130028857579359,0.04117938904245517,0.9588206109575448,0.08699711424206416,0.9485738654893009,0.9025085997147412,0.9130028857579359
97,0.4621409921671018,0.013765714115082565,0.9862342858849175,0.5378590078328982,0.8372714388606213,0.8671469740634006,0.4621409921671018
98,0.634900193174501,0.01696752859543557,0.9830324714045644,0.36509980682549903,0.9440110595437938,0.7590454195535027,0.634900193174501
99,0.9143850499782703,0.14032202445688213,0.8596779755431179,0.08561495002172968,0.9887128656143467,0.28455504463078174,0.9143850499782703
100,0.9320020547065622,0.2097355277163678,0.7902644722836322,0.06799794529343778,0.9410618878005342,0.7391282207964152,0.9320020547065622
101,0.4862535904800985,0.4200942416739877,0.5799057583260123,0.5137464095199015,0.9016959798994975,0.06984969053934571,0.4862535904800985
102,0.7308231664563175,0.1362576734789028,0.8637423265210972,0.2691768335436825,0.8096300704155509,0.7482412060301508,0.7308231664563175
103,0.8233043092451888,0.1498019937184214,0.8501980062815786,0.17669569075481115,0.8402807369344529,0.8185377150419056,0.8233043092451888
104,0.9886176631925397,0.3821694998165586,0.6178305001834413,0.01138233680746023,0.9939818003842946,0.365771982343092,0.9886176631925397
105,0.9661818442358673,0.4757132434819337,0.5242867565180662,0.03381815576413269,0.9663853576897056,0.521179562495169,0.9661818442358673
106,0.7035398230088495,0.008925428671996782,0.9910745713280033,0.29646017699115046,0.9966257050765511,0.3093385214007782,0.7035398230088495
107,0.6111904082215244,0.11891388333287667,0.8810861166671233,0.38880959177847557,0.9264221273837178,0.330350254590341,0.6111904082215244
108,0.8566350710900474,0.14481102526623513,0.8551889747337649,0.14336492890995262,0.9860494610019024,0.2067486416928796,0.8566350710900474
109,0.8388975155279503,0.08935442496793501,0.910645575032065,0.1611024844720497,0.9776105311429419,0.39255222524977296,0.8388975155279503
110,0.9887144895576598,0.13170852559536714,0.8682914744046328,0.011285510442340121,0.9951442763855556,0.6418526315789473,0.9887144895576598
111,0.822086824067022,0.019769702407656648,0.9802302975923434,0.17791317593297792,0.9423309551435555,0.8908880818752063,0.822086824067022
112,0.8696223933871877,0.05603137526314272,0.9439686247368573,0.13037760661281234,0.9641815695078837,0.7043517954960439,0.8696223933871877
113,0.29974844432675757,0.45770065075921906,0.5422993492407809,0.7002515556732424,0.4600857492854226,0.28438638362014823,0.29974844432675757
114,0.21929824561403508,0.06709869383226587,0.9329013061677341,0.7807017543859649,0.985800138275807,0.027412280701754384,0.21929824561403508
115,0.8910857908847185,0.1268100280959585,0.8731899719040415,0.1089142091152815,0.9817574583929725,0.36162110703114375,0.8910857908847185
116,0.9455487212690191,0.3388311952759112,0.6611688047240888,0.0544512787309809,0.9482795731988561,0.6370615948351073,0.9455487212690191
117,0.9351034349423213,0.09426949311767349,0.9057305068823265,0.06489656505767867,0.9479573115584382,0.8627660839576644,0.9351034349423213
118,0.7368810051736882,0.032230385584812574,0.9677696144151874,0.2631189948263119,0.9639584915211339,0.6239048811013768,0.7368810051736882
119,0.3885457353074757,0.18601935268601935,0.8139806473139807,0.6114542646925243,0.46274791492078693,0.7189075630252101,0.3885457353074757
120,0.8259217027746104,0.17335224383847575,0.8266477561615243,0.1740782972253896,0.9730429664508534,0.25118483412322273,0.8259217027746104
121,0.7851159793814433,0.21541473317865428,0.7845852668213457,0.21488402061855671,0.8547078364101727,0.6212874442319949,0.7851159793814433
122,0.9619771863117871,0.112555360465421,0.887444639534579,0.03802281368821293,0.9960866526904263,0.29195515990768217,0.9619771863117871
123,0.7729748127978217,0.0086611623765582,0.9913388376234418,0.22702518720217835,0.966936003569127,0.8761574074074074,0.7729748127978217
124,0.9854336686278231,0.29613189600507295,0.703868103994927,0.014566331372176883,0.9823070051580555,0.7875099533613923,0.9854336686278231
125,0.93190598840953,0.8244850594720047,0.17551494052799535,0.06809401159047006,0.9065709552733296,0.33741330069359443,0.93190598840953
126,0.5143793679262787,0.043179052494649824,0.9568209475053502,0.4856206320737213,0.6646092732204258,0.8898994222127113,0.5143793679262787
127,0.9995876288659794,0.676274118429807,0.32372588157019294,0.0004123711340206186,0.9998629198080877,0.0870846057122328,0.9995876288659794
128,0.6918461958003818,0.1290011834970963,0.8709988165029037,0.30815380419961824,0.9379853469802156,0.35119047619047616,0.6918461958003818
129,0.9727296657015004,0.10011901928112354,0.8998809807188765,0.027270334298499604,0.9730313679552258,0.8978134110787171,0.9727296657015004
130,0.9980200723697685,0.452372500295823,0.547627499704177,0.0019799276302314467,0.99796918767507,0.5603557327404455,0.9980200723697685
131,0.8992478410251649,0.7383941705723376,0.2616058294276624,0.10075215897483518,0.8887236551971693,0.30970960726621466,0.8992478410251649
132,0.1078902128164088,0.3346591154727422,0.6653408845272578,0.8921097871835912,0.3637862517967363,0.19035665725342538,0.1078902128164088
133,0.847830118694362,0.19352409638554216,0.8064759036144579,0.152169881305638,0.9088004001444966,0.6178955193620328,0.847830118694362
134,0.657563025210084,0.0344321712115982,0.9655678287884017,0.34243697478991597,0.9116661740072913,0.7420258620689655,0.657563025210084
135,0.9861946114451124,0.5084467083628861,0.4915532916371139,0.013805388554887553,0.9898164497187205,0.3596573145478907,0.9861946114451124
136,0.8219409282700422,0.004740435398686075,0.9952595646013139,0.1780590717299578,0.9894571164463987,0.8411053540587219,0.8219409282700422
137,0.8983688833124216,0.17097685537324786,0.8290231446267522,0.10163111668757842,0.9809579782544814,0.3127320375627866,0.8983688833124216
138,0.49510763209393344,0.0939246626978969,0.9060753373021031,0.5048923679060665,0.9583434245580044,0.17360475754803292,0.49510763209393344
139,0.6167170745119605,0.19471277802605796,0.8052872219739421,0.3832829254880396,0.7828547691988161,0.5429678044057129,0.6167170745119605
140,0.9817804636060251,0.9226991318783938,0.07730086812160619,0.018219536393974927,0.9701271813073056,0.2897798365412773,0.9817804636060251
141,0.9145770184623864,0.3680404718044596,0.6319595281955404,0.08542298153761367,0.9769722180953796,0.19868302903322357,0.9145770184623864
142,0.7298782881821752,0.4108082129602435,0.5891917870397565,0.2701217118178249,0.9456169472768952,0.10779936213395187,0.7298782881821752
143,0.9597989949748744,0.04291757466991411,0.9570824253300859,0.04020100502512563,0.9979148204139081,0.36325599087105365,0.9597989949748744
144,0.9129144626499807,0.07916524543396694,0.920834754566033,0.08708553735001935,0.9645873773673994,0.7348634333783363,0.9129144626499807
145,0.28565382987727467,0.333723611850275,0.666276388149725,0.7143461701227254,0.567556489214531,0.26406384476957984,0.28565382987727467
146,0.8436703483432455,0.2647914895809185,0.7352085104190814,0.15632965165675447,0.9876939539860888,0.08808657855051893,0.8436703483432455
147,0.6148445336008024,0.21511165807758378,0.7848883419224162,0.38515546639919757,0.9759954991560917,0.06808841497278685,0.6148445336008024
148,0.943756374763223,0.17400488879500256,0.8259951112049975,0.05624362523677692,0.9777007510109763,0.529037000735114,0.943756374763223
149,0.8855938363134176,0.12904199752422935,0.8709580024757707,0.11440616368658235,0.956892065839564,0.5876905267219756,0.8855938363134176
